,Start,7,,End,1042,,,0,,,,,,,,,,,
Click Apply to to display data from Start to End,,,,,,FALSE,,,,,,,,,,,,,
HELP,,,,,,RECALC,,,,,,,,,,,,,
,,TRUE,TRUE,FALSE,TRUE,,,TRUE,TRUE,,,,,,,,,,
Select data to graph,,,,,,"AUTO 
ZERO",TRUE,,,,,,,,,,,,
cid,syncdate,dwatts,nwatts,watts,cr,,,,,,,,dwatts,nwatts,,cr,,,
3,41152.13,118.27,48.7,0,0.12,,,,,,,,118.27,48.7,#N/A,0.12,,,
3,41152.17,118.27,48.7,0,0.12,,,,,,,,118.27,48.7,#N/A,0.12,,,
3,41152.17,118.27,48.7,0,0.12,,,,,,,,118.27,48.7,#N/A,0.12,,,
3,41152.18,118.28,48.7,0,0.12,,,,,,,,118.28,48.7,#N/A,0.12,,,
3,41152.21,118.28,48.7,0,0.12,,,,,,,,118.28,48.7,#N/A,0.12,,,
3,41152.25,118.28,48.7,0,0.12,,,,,,,,118.28,48.7,#N/A,0.12,,,
3,41152.29,118.28,48.7,0,0.12,,,,,,,,118.28,48.7,#N/A,0.12,,,
3,41152.33,118.28,48.7,0,0.12,,,,,,,,118.28,48.7,#N/A,0.12,,,
3,41152.35,118.28,48.7,0,0.12,,,,,,,,118.28,48.7,#N/A,0.12,,,
3,41152.38,118.28,48.7,0,0.12,,,,,,,,118.28,48.7,#N/A,0.12,,,
3,41152.42,118.28,48.7,0,0.12,,,,,,,,118.28,48.7,#N/A,0.12,,,
3,41152.46,118.28,48.7,0,0.12,,,,,,,,118.28,48.7,#N/A,0.12,,,
3,41152.50,118.28,48.7,0,0.12,,,,,,,,118.28,48.7,#N/A,0.12,,,
3,41152.54,118.28,48.7,0,0.12,,,,,,,,118.28,48.7,#N/A,0.12,,,
3,41152.57,118.28,48.7,0,0.12,,,,,,,,118.28,48.7,#N/A,0.12,,,
3,41152.58,118.28,48.7,0,0.12,,,,,,,,118.28,48.7,#N/A,0.12,,,
3,41152.63,118.28,48.7,0,0.12,,,,,,,,118.28,48.7,#N/A,0.12,,,
3,41152.67,118.28,48.7,0,0.12,,,,,,,,118.28,48.7,#N/A,0.12,,,
3,41152.71,118.28,48.7,0,0.12,,,,,,,,118.28,48.7,#N/A,0.12,,,
3,41152.75,118.28,48.7,0,0.12,,,,,,,,118.28,48.7,#N/A,0.12,,,
3,41152.79,118.28,48.7,0,100.12,,,,,,,,118.28,48.7,#N/A,100.12,,,
3,41152.83,118.28,48.7,0,100.12,,,,,,,,118.28,48.7,#N/A,100.12,,,
3,41152.89,118.33,48.75,0,100.11,,,,,,,,118.33,48.75,#N/A,100.11,,,
3,41152.92,118.33,48.75,0,100.11,,,,,,,,118.33,48.75,#N/A,100.11,,,
3,41152.93,118.33,48.75,0,100.11,,,,,,,,118.33,48.75,#N/A,100.11,,,
3,41152.96,118.33,48.75,0,100.11,,,,,,,,118.33,48.75,#N/A,100.11,,,
3,41153.00,118.33,48.75,0,100.11,,,,,,,,0,0,#N/A,100.11,,,
3,41153.04,118.33,48.75,0,100.11,,,,,,,,0,0,#N/A,100.11,,,
3,41153.08,118.33,48.75,0,100.11,,,,,,,,0,0,#N/A,100.11,,,
3,41153.14,118.34,48.75,0,100.11,,,,,,,,0.01,0,#N/A,100.11,,,
3,41153.17,118.35,48.75,0,100.11,,,,,,,,0.02,0,#N/A,100.11,,,
3,41153.18,118.35,48.75,0,100.11,,,,,,,,0.02,0,#N/A,100.11,,,
3,41153.21,119.28,48.75,0,99.86,,,,,,,,0.95,0,#N/A,99.86,,,
3,41153.25,119.28,48.75,0,99.86,,,,,,,,0.95,0,#N/A,99.86,,,
3,41153.29,119.29,48.75,0,99.86,,,,,,,,0.96,0,#N/A,99.86,,,
3,41153.32,119.29,48.75,0,99.86,,,,,,,,0.96,0,#N/A,99.86,,,
3,41153.32,119.29,48.75,0,99.86,,,,,,,,0.96,0,#N/A,99.86,,,
3,41153.33,119.29,48.75,0,99.86,,,,,,,,0.96,0,#N/A,99.86,,,
3,41153.36,119.29,48.75,0,99.86,,,,,,,,0.96,0,#N/A,99.86,,,
3,41153.37,119.29,48.75,0,99.86,,,,,,,,0.96,0,#N/A,99.86,,,
3,41153.38,119.29,48.75,0,99.86,,,,,,,,0.96,0,#N/A,99.86,,,
3,41153.40,119.29,48.75,0,99.86,,,,,,,,0.96,0,#N/A,99.86,,,
3,41153.42,119.29,48.75,0,99.86,,,,,,,,0.96,0,#N/A,99.86,,,
3,41153.43,119.29,48.75,0,99.86,,,,,,,,0.96,0,#N/A,99.86,,,
3,41153.46,119.29,48.75,0,99.86,,,,,,,,0.96,0,#N/A,99.86,,,
3,41153.50,119.29,48.75,0,99.86,,,,,,,,0.96,0,#N/A,99.86,,,
3,41153.50,119.29,48.75,0,99.86,,,,,,,,0.96,0,#N/A,99.86,,,
3,41153.54,119.29,48.75,11.21,99.86,,,,,,,,0.96,0,#N/A,99.86,,,
3,41153.58,119.29,48.75,0,99.86,,,,,,,,0.96,0,#N/A,99.86,,,
3,41153.63,119.31,48.75,0,99.86,,,,,,,,0.98,0,#N/A,99.86,,,
3,41153.67,120.26,48.75,0,99.6,,,,,,,,1.93,0,#N/A,99.6,,,
3,41153.71,128.29,48.75,11.32,97.44,,,,,,,,9.96,0,#N/A,97.44,,,
3,41153.75,132.19,48.75,0,96.39,,,,,,,,13.86,0,#N/A,96.39,,,
3,41153.79,132.27,48.83,0,96.37,,,,,,,,13.94,0.08,#N/A,96.37,,,
3,41153.83,134.04,50.6,10.67,95.89,,,,,,,,15.71,1.85,#N/A,95.89,,,
