,Start,7,,End,1042,,,0,,,,,,,,,,,
Click Apply to to display data from Start to End,,,,,,FALSE,,,,,,,,,,,,,
HELP,,,,,,RECALC,,,,,,,,,,,,,
,,TRUE,FALSE,TRUE,TRUE,,,TRUE,TRUE,,,,,,,,,,
Select data to graph,,,,,,"AUTO 
ZERO",TRUE,,,,,,,,,,,,
cid,syncdate,dwatts,nwatts,watts,cr,,,,,,,,dwatts,,watts,cr,,,
8,41152.13,92.06,18.61,0,201.7,,,,,,,,92.06,#N/A,0,201.7,,,
8,41152.17,93.02,18.61,0,201.45,,,,,,,,93.02,#N/A,0,201.45,,,
8,41152.17,93.02,18.61,0,201.45,,,,,,,,93.02,#N/A,0,201.45,,,
8,41152.18,93.02,18.61,0,201.45,,,,,,,,93.02,#N/A,0,201.45,,,
8,41152.21,93.02,18.61,0,201.45,,,,,,,,93.02,#N/A,0,201.45,,,
8,41152.25,93.02,18.61,0,201.45,,,,,,,,93.02,#N/A,0,201.45,,,
8,41152.29,93.04,18.61,0,201.45,,,,,,,,93.04,#N/A,0,201.45,,,
8,41152.33,93.04,18.61,0,201.45,,,,,,,,93.04,#N/A,0,201.45,,,
8,41152.35,93.28,18.61,0,201.4,,,,,,,,93.28,#N/A,0,201.4,,,
8,41152.38,93.5,18.61,0,201.37,,,,,,,,93.5,#N/A,0,201.37,,,
8,41152.42,93.55,18.61,0,201.37,,,,,,,,93.55,#N/A,0,201.37,,,
8,41152.46,94.86,18.61,3.94,201,,,,,,,,94.86,#N/A,3.94,201,,,
8,41152.50,96.74,18.61,0,200.48,,,,,,,,96.74,#N/A,0,200.48,,,
8,41152.54,96.93,18.61,0,200.48,,,,,,,,96.93,#N/A,0,200.48,,,
8,41152.57,96.94,18.61,0,200.48,,,,,,,,96.94,#N/A,0,200.48,,,
8,41152.58,96.94,18.61,0,200.48,,,,,,,,96.94,#N/A,0,200.48,,,
8,41152.63,96.94,18.61,0,200.48,,,,,,,,96.94,#N/A,0,200.48,,,
8,41152.67,99.55,18.61,11.43,199.78,,,,,,,,99.55,#N/A,11.43,199.78,,,
8,41152.71,109.41,18.61,11.65,197.13,,,,,,,,109.41,#N/A,11.65,197.13,,,
8,41152.75,119.13,18.61,11.54,194.51,,,,,,,,119.13,#N/A,11.54,194.51,,,
8,41152.79,123.99,23.47,0,193.2,,,,,,,,123.99,#N/A,0,193.2,,,
8,41152.83,123.99,23.47,0,193.2,,,,,,,,123.99,#N/A,0,193.2,,,
8,41152.89,123.99,23.47,0,193.2,,,,,,,,123.99,#N/A,0,193.2,,,
8,41152.92,123.99,23.47,0,193.2,,,,,,,,123.99,#N/A,0,193.2,,,
8,41152.93,123.99,23.47,0,193.2,,,,,,,,123.99,#N/A,0,193.2,,,
8,41152.96,123.99,23.47,0,193.2,,,,,,,,123.99,#N/A,0,193.2,,,
8,41153.00,123.99,23.47,0,193.2,,,,,,,,0,#N/A,0,193.2,,,
8,41153.04,123.99,23.47,0,193.2,,,,,,,,0,#N/A,0,193.2,,,
8,41153.08,123.99,23.47,0,193.2,,,,,,,,0,#N/A,0,193.2,,,
8,41153.14,123.99,23.47,0,193.2,,,,,,,,0,#N/A,0,193.2,,,
8,41153.17,123.99,23.47,0,193.2,,,,,,,,0,#N/A,0,193.2,,,
8,41153.18,123.99,23.47,0,193.2,,,,,,,,0,#N/A,0,193.2,,,
8,41153.21,123.99,23.47,0,193.2,,,,,,,,0,#N/A,0,193.2,,,
8,41153.25,123.99,23.47,0,193.2,,,,,,,,0,#N/A,0,193.2,,,
8,41153.29,123.99,23.47,0,193.2,,,,,,,,0,#N/A,0,193.2,,,
8,41153.32,124.06,23.47,0,193.18,,,,,,,,0.07,#N/A,0,193.18,,,
8,41153.32,124.06,23.47,0,193.18,,,,,,,,0.07,#N/A,0,193.18,,,
8,41153.33,124.06,23.47,0,193.18,,,,,,,,0.07,#N/A,0,193.18,,,
8,41153.36,124.56,23.47,2.21,193.03,,,,,,,,0.57,#N/A,2.21,193.03,,,
8,41153.37,125.17,23.47,2.1,192.87,,,,,,,,1.18,#N/A,2.1,192.87,,,
8,41153.38,125.17,23.47,2.1,192.87,,,,,,,,1.18,#N/A,2.1,192.87,,,
8,41153.40,125.54,23.47,0,192.77,,,,,,,,1.55,#N/A,0,192.77,,,
8,41153.42,125.54,23.47,0,192.77,,,,,,,,1.55,#N/A,0,192.77,,,
8,41153.43,125.54,23.47,0,192.77,,,,,,,,1.55,#N/A,0,192.77,,,
8,41153.46,125.54,23.47,0,192.77,,,,,,,,1.55,#N/A,0,192.77,,,
8,41153.50,125.54,23.47,0,192.77,,,,,,,,1.55,#N/A,0,192.77,,,
8,41153.50,125.54,23.47,0,192.77,,,,,,,,1.55,#N/A,0,192.77,,,
8,41153.54,125.55,23.47,0,192.77,,,,,,,,1.56,#N/A,0,192.77,,,
8,41153.58,126.18,23.47,0,192.6,,,,,,,,2.19,#N/A,0,192.6,,,
8,41153.63,126.18,23.47,0,192.6,,,,,,,,2.19,#N/A,0,192.6,,,
8,41153.67,128.06,23.47,13.27,192.09,,,,,,,,4.07,#N/A,13.27,192.09,,,
8,41153.71,138.13,23.47,12.08,189.36,,,,,,,,14.14,#N/A,12.08,189.36,,,
8,41153.75,147.93,23.47,11.54,186.71,,,,,,,,23.94,#N/A,11.54,186.71,,,
8,41153.79,154.72,30.26,0,184.91,,,,,,,,30.73,#N/A,0,184.91,,,
8,41153.83,154.92,30.46,0,184.91,,,,,,,,30.93,#N/A,0,184.91,,,
8,41153.88,155.11,30.65,0,184.91,,,,,,,,31.12,#N/A,0,184.91,,,
